Date,Close,,,,,
2019-05-22,3217 ,,,,,
2019-05-21,3236 ,,,,,
2019-05-20,3197 ,,,,,
2019-05-17,3254 ,,,,,
2019-05-16,3281 ,,,,,
2019-05-15,3249 ,,,,,
2019-05-14,3215 ,,,,,
2019-05-13,3165 ,,,,,
2019-05-10,3287 ,,,,,
2019-05-09,3279 ,,,,,
2019-05-08,3301 ,,,,,
2019-05-07,3307 ,,,,,
2019-05-06,3378 ,,,,,
2019-05-03,3405 ,,,,,
2019-05-02,3373 ,,,,,
2019-05-01,3391 ,,,,,
2019-04-30,3401 ,,,,,
2019-04-29,3393 ,,,,,
2019-04-26,3393 ,,,,,
2019-04-25,3406 ,,,,,
2019-04-24,3406 ,,,,,
2019-04-23,3406 ,,,,,
2019-04-22,3368 ,,,,,
2019-04-18,3360 ,,,,,
2019-04-17,3351 ,,,,,
2019-04-16,3331 ,,,,,
2019-04-15,3315 ,,,,,
2019-04-12,3317 ,,,,,
2019-04-11,3294 ,,,,,
2019-04-10,3298 ,,,,,
2019-04-09,3274 ,,,,,
2019-04-08,3291 ,,,,,
2019-04-05,3278 ,,,,,
2019-04-04,3264 ,,,,,
2019-04-03,3277 ,,,,,
2019-04-02,3250 ,,,,,
2019-04-01,3241 ,,,,,
2019-03-29,3196 ,,,,,
2019-03-28,3165 ,,,,,
2019-03-27,3153 ,,,,,
2019-03-26,3170 ,,,,,
2019-03-25,3153 ,,,,,
2019-03-22,3165 ,,,,,
2019-03-21,3241 ,,,,,
2019-03-20,3163 ,,,,,
2019-03-19,3171 ,,,,,
2019-03-18,3165 ,,,,,
2019-03-15,3152 ,,,,,
2019-03-14,3114 ,,,,,
2019-03-13,3108 ,,,,,
2019-03-12,3086 ,,,,,
2019-03-11,3070 ,,,,,
2019-03-08,3005 ,,,,,
2019-03-07,3006 ,,,,,
2019-03-06,3034 ,,,,,
2019-03-05,3050 ,,,,,
2019-03-04,3059 ,,,,,
2019-03-01,3071 ,,,,,
2019-02-28,3049 ,,,,,
2019-02-27,3059 ,,,,,
2019-02-26,3062 ,,,,,
2019-02-25,3056 ,,,,,
2019-02-22,3041 ,,,,,
2019-02-21,3002 ,,,,,
2019-02-20,3000 ,,,,,
2019-02-19,2997 ,,,,,
2019-02-15,2997 ,,,,,
2019-02-14,2973 ,,,,,
2019-02-13,2970 ,,,,,
2019-02-12,2965 ,,,,,
2019-02-11,2926 ,,,,,
2019-02-08,2925 ,,,,,
2019-02-07,2910 ,,,,,
2019-02-06,2952 ,,,,,
2019-02-05,2944 ,,,,,
2019-02-04,2918 ,,,,,
2019-02-01,2872 ,,,,,
2019-01-31,2855 ,,,,,
2019-01-30,2858 ,,,,,
2019-01-29,2774 ,,,,,
2019-01-28,2802 ,,,,,
2019-01-25,2842 ,,,,,
2019-01-24,2801 ,,,,,
2019-01-23,2775 ,,,,,
2019-01-22,2764 ,,,,,
2019-01-18,2814 ,,,,,
2019-01-17,2772 ,,,,,
2019-01-16,2754 ,,,,,
2019-01-15,2752 ,,,,,
2019-01-14,2712 ,,,,,
2019-01-11,2737 ,,,,,
2019-01-10,2741 ,,,,,
2019-01-09,2728 ,,,,,
2019-01-08,2695 ,,,,,
2019-01-07,2671 ,,,,,
2019-01-04,2648 ,,,,,
2019-01-03,2537 ,,,,,
2019-01-02,2671 ,,,,,
2018-12-31,2669 ,,,,,
2018-12-28,2644 ,,,,,
2018-12-27,2651 ,,,,,
2018-12-26,2631 ,,,,,
2018-12-24,2481 ,,,,,
2018-12-21,2550 ,,,,,
2018-12-20,2629 ,,,,,
2018-12-19,2679 ,,,,,
2018-12-18,2732 ,,,,,
2018-12-17,2708 ,,,,,
2018-12-14,2769 ,,,,,
2018-12-13,2840 ,,,,,
2018-12-12,2834 ,,,,,
2018-12-11,2812 ,,,,,
2018-12-10,2809 ,,,,,
2018-12-07,2770 ,,,,,
2018-12-06,2871 ,,,,,
2018-12-04,2864 ,,,,,
2018-12-03,2979 ,,,,,
2018-11-30,2917 ,,,,,
2018-11-29,2886 ,,,,,
2018-11-28,2914 ,,,,,
2018-11-27,2817 ,,,,,
2018-11-26,2810 ,,,,,
2018-11-23,2748 ,,,,,
2018-11-21,2772 ,,,,,
2018-11-20,2755 ,,,,,
2018-11-19,2815 ,,,,,
2018-11-16,2926 ,,,,,
2018-11-15,2929 ,,,,,
2018-11-14,2859 ,,,,,
2018-11-13,2894 ,,,,,
2018-11-12,2892 ,,,,,
2018-11-09,2998 ,,,,,
2018-11-08,3048 ,,,,,
2018-11-07,3052 ,,,,,
2018-11-06,2967 ,,,,,
2018-11-05,2948 ,,,,,
2018-11-02,2954 ,,,,,
2018-11-01,3011 ,,,,,
2018-10-31,2975 ,,,,,
2018-10-30,2905 ,,,,,
2018-10-29,2872 ,,,,,
2018-10-26,2925 ,,,,,
2018-10-25,2981 ,,,,,
2018-10-24,2885 ,,,,,
2018-10-23,3018 ,,,,,
2018-10-22,3031 ,,,,,
2018-10-19,3006 ,,,,,
2018-10-18,3006 ,,,,,
2018-10-17,3068 ,,,,,
2018-10-16,3082 ,,,,,
2018-10-15,2992 ,,,,,
2018-10-12,3041 ,,,,,
2018-10-11,2948 ,,,,,
2018-10-10,2986 ,,,,,
2018-10-09,3136 ,,,,,
2018-10-08,3125 ,,,,,
2018-10-05,3162 ,,,,,
2018-10-04,3202 ,,,,,
2018-10-03,3260 ,,,,,
2018-10-02,3249 ,,,,,
2018-10-01,3249 ,,,,,
2018-09-28,3233 ,,,,,
2018-09-27,3219 ,,,,,
2018-09-26,3202 ,,,,,
2018-09-25,3215 ,,,,,
2018-09-24,3217 ,,,,,
2018-09-21,3207 ,,,,,
2018-09-20,3215 ,,,,,
2018-09-19,3179 ,,,,,
2018-09-18,3185 ,,,,,
2018-09-17,3166 ,,,,,
2018-09-14,3208 ,,,,,
2018-09-13,3208 ,,,,,
2018-09-12,3173 ,,,,,
2018-09-11,3185 ,,,,,
2018-09-10,3158 ,,,,,
2018-09-07,3147 ,,,,,
2018-09-06,3158 ,,,,,
2018-09-05,3181 ,,,,,
2018-09-04,3224 ,,,,,
2018-08-31,3235 ,,,,,
2018-08-30,3232 ,,,,,
2018-08-29,3242 ,,,,,
2018-08-28,3213 ,,,,,
2018-08-27,3208 ,,,,,
2018-08-24,3178 ,,,,,
2018-08-23,3145 ,,,,,
2018-08-22,3140 ,,,,,
2018-08-21,3130 ,,,,,
2018-08-20,3127 ,,,,,
2018-08-17,3131 ,,,,,
2018-08-16,3125 ,,,,,
2018-08-15,3113 ,,,,,
2018-08-14,3141 ,,,,,
2018-08-13,3122 ,,,,,
2018-08-10,3126 ,,,,,
2018-08-09,3151 ,,,,,
2018-08-08,3150 ,,,,,
2018-08-07,3141 ,,,,,
2018-08-06,3131 ,,,,,
2018-08-03,3113 ,,,,,
2018-08-02,3101 ,,,,,
2018-08-01,3062 ,,,,,
2018-07-31,3035 ,,,,,
2018-07-30,3028 ,,,,,
2018-07-27,3075 ,,,,,
2018-07-26,3129 ,,,,,
2018-07-25,3177 ,,,,,
2018-07-24,3139 ,,,,,
2018-07-23,3121 ,,,,,
2018-07-20,3106 ,,,,,
2018-07-19,3104 ,,,,,
2018-07-18,3116 ,,,,,
2018-07-17,3120 ,,,,,
2018-07-16,3098 ,,,,,
2018-07-13,3107 ,,,,,
2018-07-12,3109 ,,,,,
2018-07-11,3057 ,,,,,
2018-07-10,3074 ,,,,,
2018-07-09,3064 ,,,,,
2018-07-06,3042 ,,,,,
2018-07-05,3007 ,,,,,
2018-07-03,2965 ,,,,,
2018-07-02,3001 ,,,,,
2018-06-29,2973 ,,,,,
2018-06-28,2975 ,,,,,
2018-06-27,2940 ,,,,,
2018-06-26,2980 ,,,,,
2018-06-25,2968 ,,,,,
2018-06-22,3033 ,,,,,
2018-06-21,3041 ,,,,,
2018-06-20,3064 ,,,,,
2018-06-19,3057 ,,,,,
2018-06-18,3075 ,,,,,
2018-06-15,3071 ,,,,,
2018-06-14,3081 ,,,,,
2018-06-13,3062 ,,,,,
2018-06-12,3078 ,,,,,
2018-06-11,3061 ,,,,,
2018-06-08,3060 ,,,,,
2018-06-07,3059 ,,,,,
2018-06-06,3088 ,,,,,
2018-06-05,3070 ,,,,,
2018-06-04,3056 ,,,,,
2018-06-01,3034 ,,,,,
2018-05-31,2978 ,,,,,
2018-05-30,2980 ,,,,,
2018-05-29,2959 ,,,,,
2018-05-25,2978 ,,,,,
2018-05-24,2979 ,,,,,
2018-05-23,2981 ,,,,,
2018-05-22,2958 ,,,,,
2018-05-21,2965 ,,,,,
2018-05-18,2939 ,,,,,
2018-05-17,2952 ,,,,,
2018-05-16,2966 ,,,,,
